"Main_Headline","Date"
"Bringing Disney’s European Adventures to American Readers","2018-03-23T14:59:54+0000"
"Disney Offers to Buy Sky News to Aid Rupert Murdoch’s Bid for Sky","2018-04-03T13:51:40+0000"
"Comcast Bid 16% More Than Disney for 21st Century Fox, Filing Shows","2018-04-19T01:50:37+0000"
"There’s No Smoking in Disney Films. What About When It Owns Fox?","2018-04-25T18:25:40+0000"
"Investors Bet That Fox and Disney Will Toss Financial Sense Aside","2018-04-25T20:21:17+0000"
"An Elegiac Tone as 20th Century Fox Faces a Disney Future","2018-04-26T20:41:14+0000"
"Nafta Talks Resume, and Disney Will Face Questions on Its Fox Plans","2018-05-06T19:42:11+0000"
"Is Comcast Going to Crash Disney’s Deal With Fox?: DealBook Briefing","2018-05-07T12:00:23+0000"
"Disney’s Strong Quarter Is Shadowed by Comcast’s Maneuvers for Fox","2018-05-08T23:42:57+0000"
"James Murdoch Will Not Join Disney if Fox Deal Is Completed","2018-05-09T02:58:21+0000"
"For Goths at Disneyland, It’s a Dark World After All","2018-05-11T20:15:59+0000"
"As Disney Sale Looms, Fox TV Chiefs Are Said to Discuss Extending Contracts","2018-05-15T16:50:26+0000"
"As Disney Moves Forward With Fox, Comcast Continues Plotting","2018-05-20T21:43:45+0000"
"Date Set for 21st Century Fox Shareholders to Vote on Disney Deal","2018-05-30T16:16:03+0000"
"Disney Made Quick Work of ‘Roseanne.’ It’s Not Always So Easy.","2018-05-31T00:07:34+0000"
"Trailer for ‘Ralph Breaks the Internet’ Tweaks Disney Princesses","2018-06-04T16:58:13+0000"
"U.K. Clears Way for Bidding War Between Comcast and Disney Over Sky","2018-06-05T13:24:07+0000"
"Pixar Co-Founder to Leave Disney After ‘Missteps’","2018-06-08T22:01:28+0000"
"Comcast Offers $65 Billion for 21st Century Fox, Challenging Disney","2018-06-13T20:05:11+0000"
"‘Frozen’ and ‘Inside Out’ Directors to Succeed Lasseter at Disney and Pixar","2018-06-19T23:09:31+0000"
"Disney Ups Its Bid for 21st Century Fox to $71.3 Billion","2018-06-20T12:33:44+0000"
"Disney Tries to Thread the Needle With New Fox Bid","2018-06-20T15:11:25+0000"
"Family Separations, Syria, Disney: Your Wednesday Evening Briefing","2018-06-20T22:05:04+0000"
"DealBook Briefing: Disney’s Smart New Move to Beat Comcast in the Fight for Fox","2018-06-21T09:52:52+0000"
"Justice Dept. Approves Disney’s Purchase of Fox Assets","2018-06-27T16:09:37+0000"
"Supreme Court, Disney, Unions: Your Wednesday Evening Briefing","2018-06-27T22:00:35+0000"
"Walk Among Giants — Woody Included — at Disney World's New Toy Story Land","2018-06-28T09:00:06+0000"
"Comcast Has Fallen Behind Disney in the Pursuit of Fox. Here Are Its Options.","2018-06-28T14:13:15+0000"
"The Disney-Fox Deal Sails Through, a Bit Too Easily","2018-07-01T23:57:45+0000"
"The Disney-Fox Deal","2018-07-03T19:10:38+0000"
"Disney Will Move New York Operations to Lower Manhattan","2018-07-09T22:33:41+0000"
"DealBook Briefing: The Disney-Comcast Fight Switches to Sky","2018-07-12T10:19:19+0000"
"The Battle Between Comcast and Disney Has Moved to London. This Rule Is Why.","2018-07-13T14:29:37+0000"
"Comcast Pulls Offer for Fox Assets, Ending Bidding War With Disney","2018-07-19T12:56:14+0000"
"Disney Fires ‘Guardians of the Galaxy’ Director Over Offensive Tweets","2018-07-20T22:41:56+0000"
